actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
1,1247.7/ZWY,I247.7/ZWY,0.9783,True,green,排序正确,1,"[0, 667, 8, 146]","[25, 645, 51, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_001.jpg,[]
2,1247.7/ZWY1,I247.7/ZWY1,0.9603,True,green,排序正确,2,"[0, 666, 8, 161]","[106, 645, 55, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_002.jpg,[]
3,1247.7/ZX 10,I247.7/ZX10,0.9249,True,green,排序正确,3,"[0, 654, 8, 182]","[157, 645, 60, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_003.jpg,[]
4,1247.7/ZX11,I247.7/ZX11,0.9373,True,green,排序正确,4,"[0, 655, 8, 176]","[217, 645, 49, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_004.jpg,[]
5,1247.7/ZXD3,I247.7/ZXD3,0.9870,True,green,排序正确,5,"[0, 657, 8, 154]","[270, 645, 54, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_005.jpg,[]
6,1247.7/ZXL7,I247.7/ZXL7,0.9515,True,green,排序正确,6,"[0, 656, 8, 161]","[333, 645, 47, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_006.jpg,[]
7,1247.7/ZXL8,I247.7/ZXL8,0.9783,True,green,排序正确,7,"[0, 660, 8, 159]","[390, 645, 43, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_007.jpg,[]
8,1247.7/ZXL9,I247.7/ZXL9,0.9824,True,green,排序正确,8,"[0, 670, 8, 149]","[446, 645, 44, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_008.jpg,[]
9,1247.7/ZXQ1,I247.7/ZXQ1,0.9709,True,green,排序正确,9,"[0, 662, 8, 150]","[518, 645, 47, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_009.jpg,[]
10,1247.7/ZXX,I247.7/ZXX,0.9666,True,green,排序正确,10,"[0, 673, 8, 145]","[597, 645, 45, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_010.jpg,[]
11,1247.7/ZXX2,I247.7/ZXX2,0.9195,True,green,排序正确,11,"[0, 665, 8, 153]","[673, 645, 45, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_011.jpg,[]
12,1247.7/ZY6,I247.7/ZY6,0.8930,True,green,排序正确,12,"[0, 660, 8, 158]","[752, 645, 49, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_012.jpg,[]
13,1247.7/ZY 7,I247.7/ZY7,0.9370,True,green,排序正确,13,"[0, 665, 8, 158]","[797, 645, 43, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_013.jpg,[]
14,1247.7/ZY 10,I247.7/ZY10,0.9453,True,green,排序正确,14,"[0, 655, 8, 158]","[866, 645, 51, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_014.jpg,[]
15,1247.7/ZY 11,I247.7/ZY11,0.9729,True,green,排序正确,15,"[0, 650, 8, 154]","[931, 645, 49, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_015.jpg,[]
16,1247.7/ZYH2,I247.7/ZYH2,0.9570,True,green,排序正确,16,"[0, 661, 8, 162]","[990, 645, 56, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_016.jpg,[]
17,1247.7/ZYR7,I247.7/ZYR7,0.9618,True,green,排序正确,17,"[0, 667, 8, 158]","[1076, 645, 50, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_017.jpg,[]
18,1247.7/ZYW,I247.7/ZYW,0.9612,True,green,排序正确,18,"[0, 658, 8, 145]","[1133, 645, 57, 211]",stage5_mobile_results\final_demo_results\standard\IMG20260520094503\crops\ocr_crop_018.jpg,[]
