actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
1,669. 3/LYX1 ,669.3/LYX1,0.6400,False,yellow,OCR 置信度较低,,"[5, 737, 1, 163]","[5, 737, 45, 163]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_001.jpg,"[{""variant"": ""current"", ""crop_box"": [5, 737, 45, 163], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\standard\\IMG20260517094656\\crops\\ocr_crop_001.jpg"", ""raw_text"": ""669. 3/LYX1 "", ""clean_text"": ""669.3/LYX1"", ""confidence"": 0.64, ""parse_ok"": false, ""score"": 48.5, ""selected"": true}, {""variant"": ""current_crop_ocr"", ""crop_box"": [5, 737, 45, 163], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\standard\\IMG20260517094656\\crop_current_retries\\det_001_current_ocr.jpg"", ""raw_text"": ""669. 3/LYX1 "", ""clean_text"": ""669.3/LYX1"", ""confidence"": 0.660938, ""parse_ok"": false, ""score"": 50.594, ""selected"": false}]"
2,D669.3/LYY,D669.3/LYY,0.9970,True,green,排序正确,1,"[0, 753, 8, 101]","[50, 743, 39, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_002.jpg,[]
3,D669.3/LYY1,D669.3/LYY1,0.9968,True,green,排序正确,2,"[0, 741, 8, 110]","[90, 741, 39, 157]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_003.jpg,[]
4,D669.3/LYY2,D669.3/LYY2,0.9976,True,green,排序正确,3,"[0, 755, 8, 104]","[122, 743, 38, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_004.jpg,[]
5,D669.3/LZC,D669.3/LZC,0.9725,True,green,排序正确,4,"[0, 736, 8, 124]","[158, 736, 34, 162]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_005.jpg,[]
6,D669.3/LZF,D669.3/LZF,0.9965,True,green,排序正确,5,"[0, 750, 8, 94]","[192, 743, 34, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_006.jpg,[]
7,D669.3/LZT,D669.3/LZT,0.9919,True,green,排序正确,6,"[0, 749, 8, 102]","[233, 743, 37, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_007.jpg,[]
8,D660. 3/MD,D660.3/MD,0.6400,True,yellow,OCR 置信度较低,,"[262, 737, 1, 163]","[262, 737, 45, 163]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_008.jpg,[]
9,D669.3/MDF,D669.3/MDF,0.9978,True,green,排序正确,7,"[0, 754, 8, 101]","[299, 743, 37, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_009.jpg,[]
10,D669.3/MGF,D669.3/MGF,0.9987,True,green,排序正确,8,"[0, 759, 8, 100]","[330, 743, 35, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_010.jpg,[]
11,D669.3/MH,D669.3/MH,0.9967,True,green,排序正确,9,"[0, 755, 8, 92]","[371, 743, 35, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_011.jpg,[]
12,D669.3/ML,D669.3/ML,0.9793,True,green,排序正确,10,"[0, 762, 8, 93]","[402, 743, 35, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_012.jpg,[]
13,D669.3/MMS,D669.3/MMS,0.9977,True,green,排序正确,11,"[0, 773, 8, 103]","[446, 743, 35, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_013.jpg,[]
14,D669.3/MXL,D669.3/MXL,0.9959,True,green,排序正确,12,"[0, 771, 8, 101]","[480, 743, 35, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_014.jpg,[]
15,D669.3/MXL,D669.3/MXL,0.9815,True,green,排序正确,13,"[0, 766, 8, 103]","[506, 743, 35, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_015.jpg,[]
16,D669.3/MXL,D669.3/MXL,0.9972,True,green,排序正确,14,"[0, 768, 8, 101]","[556, 743, 36, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_017.jpg,[]
17,D669.3/MYK,D669.3/MYK,0.9979,True,green,排序正确,15,"[0, 763, 8, 101]","[583, 743, 33, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_018.jpg,[]
18,D669.3/MZC,D669.3/MZC,0.9724,True,green,排序正确,16,"[0, 774, 8, 102]","[631, 743, 32, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_019.jpg,[]
19,D669.3/NC,D669.3/NC,0.9974,True,green,排序正确,17,"[0, 776, 8, 91]","[666, 743, 34, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_020.jpg,[]
20,D669.3/NL,D669.3/NL,0.9962,True,green,排序正确,18,"[0, 776, 8, 93]","[694, 743, 35, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_021.jpg,[]
21,D669.3/PHY,D669.3/PHY,0.9981,True,green,排序正确,19,"[0, 770, 8, 103]","[736, 743, 34, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_022.jpg,[]
22,D669.3/PJ,D669.3/PJ,0.9972,True,green,排序正确,20,"[0, 770, 8, 94]","[774, 743, 35, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_023.jpg,[]
23,D669.3/PL,D669.3/PL,0.9990,True,green,排序正确,21,"[0, 778, 8, 93]","[807, 743, 34, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_024.jpg,[]
24,D669.3/PYC,D669.3/PYC,0.9981,True,green,排序正确,22,"[0, 763, 8, 105]","[841, 743, 36, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_025.jpg,[]
25,D669.3/PZF,D669.3/PZF,0.9986,True,green,排序正确,23,"[0, 770, 8, 103]","[877, 743, 34, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_026.jpg,[]
26,D669.3/PZQ,D669.3/PZQ,0.9960,True,green,排序正确,24,"[0, 782, 8, 105]","[926, 743, 34, 155]",stage5_mobile_results\final_demo_results\standard\IMG20260517094656\crops\ocr_crop_027.jpg,[]
